# BEAST v1.8.0pre Prerelease r5356, r5356
# Generated Fri Dec 13 11:35:16 NZDT 2013 [seed=1386887715540]
state	posterior	prior	likelihood	treeLikelihood	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline	meanRate	coefficientOfVariation	covariance	treeModel.rootHeight	clock.rate	binary.frequencies1	binary.frequencies2	tmrca(baltic)	tmrca(baltoslav)	tmrca(celtic)	tmrca(germanic)	tmrca(indoiranian)	tmrca(iraniangrp)	tmrca(italic)	tmrca(northwestgermnc)	tmrca(toch)	tmrca(westgermnc)	age(luvian)	age(avestan)	age(oldnorse)	age(latin)	age(oldpersian)	age(oldhighgerman)	age(hittite)	age(vedic)	age(ancientgreek)	age(lycian)	age(gothic)	age(oldchurchslavonic)	age(oscan)	age(oldirish)	age(tocharian_a)	age(classicalarmenian)	age(oldenglish)	age(tocharian_b)	age(oldprussian)	age(umbrian)
20000	-15691.701981873948	-191.4118460772896	-15500.290135796658	-15500.290135796658	30901.595453694023	1831.2221390978705	2987152.280135665	5539669.342667106	1818814.2760963696	3.0	6.0	8.0	5.0	1.0	-333.8568855354331	4.619304358010306E-5	4.449463270303381E-16	0.9772727272727271	7915.891378241475	4.619304358010306E-5	0.8718401091989206	0.12815989080107992	1353.0597580408582	3336.147505942203	2878.3508852162277	2333.438871661804	3534.8786399974	2881.2388176173004	3000.7625667357415	1850.2242825630344	1796.097581597787	1539.3495642627145	3526.0312963978918	2514.292896123813	877.3727523555327	2016.697652110109	2333.98031623104	1117.2315646062827	3321.61671969687	2808.5510579783454	2480.42530431309	2346.2428546266706	1685.5827006059956	1053.364569519403	2384.559598684474	1344.9314108695655	1225.4553069363762	1602.820308065377	1066.867238121377	1376.397413711602	677.0525163806354	2087.486850388062
22000	-15687.43411314142	-188.151783946036	-15499.282329195385	-15499.282329195385	279542.29950454657	1256.0504556672424	1.3183035155161424E8	3985626.7122284686	778161.4283856215	5.0	8.0	2.0	4.0	4.0	-356.6477431453031	4.781250912291856E-5	5.73167300143972E-16	0.9772727272727274	7646.451383943913	4.781250912291856E-5	0.8778034877003867	0.12219651229961379	1318.5211734279555	3213.3758105876714	2814.4032968352767	2274.0071465963483	3648.03561585504	2825.2811403911946	2989.982308352608	1829.3918196205364	1750.3370509290755	1501.10033281164	3611.3742795061107	2514.292896123813	877.3727523555327	2145.2677592021623	2313.1116389904164	1063.2278710576707	3431.046158923443	2905.1641961738587	2359.8293165492637	2446.4331658721726	1673.0018422549003	966.9440285775048	2141.6321053775705	1167.9687161246911	1318.1308425423601	1509.6142964210799	1066.867238121377	1275.283751766188	565.3313034603732	2327.412900611174
24000	-15690.333417506927	-192.2991762901885	-15498.034241216737	-15498.034241216737	1179922.447048305	3106.049733691548	1.036482755104968E9	2.9500936187271435E7	7132665.10038003	1.0	7.0	4.0	9.0	2.0	-380.6173417809041	4.350779171575752E-5	3.1493860853855905E-16	0.9772727272727271	8676.952020538994	4.3507791715757524E-5	0.8776851481815529	0.12231485181844771	1373.6395646462286	3347.657004353442	3045.288185808003	2439.930898951795	3855.998679650768	3001.3909440425896	3114.866399620639	1876.196823827564	1916.6825812367642	1485.501719350677	3447.179884250377	2514.292896123813	788.0675395278989	2173.7883255632523	2313.1116389904164	961.6128899561451	3495.250360233864	2881.1902610248994	2416.8106052960857	2447.6884639891905	1661.1042805824359	978.5857086388817	2141.6321053775705	1139.2163428095816	1264.4335674112226	1448.9296947656403	1037.5018272973593	1537.3275231508346	592.5714256442744	2458.239463722978
26000	-15683.809299703202	-182.59746398776844	-15501.211835715434	-15501.211835715434	1.314442935583945E7	7551.977934092649	1.5574953164502761E9	2.323259138626325E8	3.4939120970673636E7	2.0	1.0	5.0	7.0	8.0	-424.0168144488611	4.1996494904965556E-5	6.525441427696862E-16	0.9772727272727271	7851.537436134171	4.199649490496554E-5	0.873746669089966	0.1262533309100345	1318.8229213429674	3331.359409847893	3056.180530900452	2293.3870071008355	3909.1569229731986	3046.586479936867	3062.805259867423	1913.4048450356536	1859.908184004212	1535.5517379614193	3326.8861144477346	2514.292896123813	806.7080345820306	2094.385817877729	2279.509495366175	1036.736716397133	3404.545573978752	3113.4645791337234	2439.660461736961	2316.1206483113965	1648.5284982370517	1026.770915876851	2144.3200974290753	1153.1786033142914	1381.8969162279263	1496.721870022106	1022.2869312783049	1309.4688022567238	531.254946433409	2252.7799361538687
28000	-15686.97275514589	-187.38711059778367	-15499.585644548106	-15499.585644548106	5.957023721678487E7	39614.44132946966	7.191692362562541E9	7.712861547591944E8	1.852901352045954E8	9.0	5.0	6.0	1.0	2.0	-411.9550652185374	4.266041776085297E-5	3.211943085123729E-16	0.9772727272727271	8932.035259069358	4.266041776085299E-5	0.8747932934401593	0.12520670655984112	1394.1382770588848	3258.9586450803245	2879.2576448749655	2372.0330077692165	3923.686387488316	2922.9965304750126	2858.307831801796	1913.5138148047952	1859.8479075926866	1533.431929009419	3372.47087258514	2558.4971907172085	833.6792693211122	2001.5316446643753	2279.401920847424	1060.021873821098	3437.818242850025	3078.9524739730978	2423.7018300344794	2510.2777669915604	1673.259337200202	929.9912666206368	2117.131084414405	1122.1447478195257	1457.8376796625823	1548.4557929075768	1065.5342969326318	1344.1394719319628	659.1747083432159	2309.5627223203705
30000	-15684.132757888834	-180.69173933186883	-15503.441018556965	-15503.441018556965	1.1772153709270331E8	1283859.3743363179	1.0239673371235027E10	4.803039574641168E9	1.2003749915666277E10	1.0	7.0	7.0	1.0	7.0	-463.2222422124561	4.168224678472536E-5	4.930978212731822E-16	0.9772727272727271	8009.5874840847355	4.168224678472536E-5	0.8751384953125684	0.12486150468743203	1328.8533407548682	3258.926495824051	2826.8465450702015	2409.148868429963	3923.6987527297442	3174.0497546085085	2858.3094518273015	1826.4283459424153	1918.7464790011295	1552.3581036497249	3360.5696660647495	2503.093864263216	775.9571449912036	1934.3075214041373	2371.1411375308617	974.5142051345001	3264.086964817071	2965.539533656104	2423.7018300344794	2310.9199321493966	1673.259337200202	1039.9694998276223	2154.8377094767447	1166.5443890030617	1385.519414973217	1547.7916361972375	1018.1268877803295	1302.7323639025406	560.8692623913307	2309.5627223203705
32000	-15682.82140611898	-180.92184600826394	-15501.899560110714	-15501.899560110714	6.148543924096617E8	3723656.6636213544	6.450714195660282E9	5.543918904296162E10	9.185301540802103E10	2.0	3.0	3.0	3.0	12.0	-530.7781502948084	4.369899276463575E-5	7.839015568017265E-16	0.9772727272727271	8198.49943693377	4.3698992764635745E-5	0.8756091559810851	0.12439084401891516	1320.6238155571596	3238.71849050932	2826.8481746488114	2384.9272757523877	3726.4090081399327	2963.1536898742434	2812.3435141081386	1833.1627276100915	1918.8238546598907	1541.54454956492	3422.7658680972386	2439.284943778004	816.7725568769922	2001.9137309914227	2371.2948387820866	1055.1989140643873	3275.1660802020774	3046.8202292940077	2400.320210636814	2289.343215418607	1624.0887487695231	1021.759924881378	2154.8377094767447	1203.115821740186	1325.8213752334607	1471.0593524308565	1099.0908097270565	1414.919999731448	554.8628744241078	2309.5627223203705
34000	-15688.061571775837	-185.17343012153347	-15502.888141654304	-15502.888141654304	2.6106584667637086E9	4.2901533563167416E7	7.338332292166577E10	2.0260936530707855E10	4.9917799615795953E11	2.0	5.0	1.0	2.0	13.0	-553.8934477407915	4.2123230120829174E-5	8.132260598392835E-16	0.9772727272727271	8901.30146167745	4.212323012082918E-5	0.8812020819578985	0.11879791804210191	1369.5091675323097	3318.314469002834	3164.7372917773428	2411.07692376203	3756.524375082788	3080.183305694375	2835.0590879101032	1932.744309841907	1926.605727425162	1535.0947153692312	3358.685019454615	2596.0463824838807	830.5135606715263	2045.878449205473	2292.383163015797	1055.1989140643873	3283.6030324209855	2912.3315720099367	2449.895923242645	2264.4521397437334	1662.5297968165726	1025.0474031289873	2162.211815488667	1214.4776703727728	1406.9002075519181	1340.9609389341877	1058.840514151938	1388.7018289355337	672.0265936863523	2019.3894108965865
36000	-15689.664685696338	-186.56584725704954	-15503.098838439288	-15503.098838439288	1.6741880880983452E10	8.747722891151171E8	2.1442194038094656E12	1.467839960770332E11	6.084848561891527E11	2.0	2.0	5.0	5.0	9.0	-602.999602847717	4.10464889762726E-5	5.00735278167162E-16	0.9772727272727271	8407.606478854017	4.104648897627257E-5	0.8812302026060326	0.11876979739396777	1369.538482654057	3398.5856875311138	3036.262590837561	2328.47200636911	3770.516276630334	3087.3068766988204	2916.5138334294206	1902.763996028278	1926.5641661989532	1516.7595489830796	3485.5055027810845	2494.851969020638	793.0572321806393	1892.4065534992392	2315.785377597544	940.4736568879708	3537.1420913774346	2964.8868697440826	2291.8975988900706	2424.162515052253	1651.181920645051	1020.5378207831696	2061.9505255896306	1274.6555612	1406.9002075519181	1404.0010523558003	998.5477513635741	1388.7018289355337	689.5294468430508	2242.8049092408123
38000	-15689.137001668734	-182.00466827708152	-15507.132333391653	-15507.132333391653	5.689979526680675E10	1.812818282836241E10	2.590039883543706E12	4.3704978957093677E11	5.765981325672788E11	3.0	3.0	1.0	15.0	1.0	-602.8686782011689	4.3344204007823544E-5	3.161272353985988E-16	0.9772727272727271	8520.081034026032	4.3344204007823564E-5	0.8718565572212695	0.12814344277873085	1377.5012849021643	3281.4015421920703	3240.611782925921	2436.2962188860038	3867.495613532961	2980.210526738051	2933.444840970909	1895.0174157266135	1877.2717749483656	1535.200396753643	3499.9637693713134	2463.5903820839	768.3847758984563	2136.2322731019112	2358.0856278257684	1050.782168241692	3563.5995124936094	3141.5606392751747	2436.5647189060346	2431.363983990293	1675.5973504963451	909.0365003610565	2116.832641981413	1246.2043383856421	1360.0837284303345	1533.6551208496426	976.783261588121	1431.702064494873	767.6925006236154	2156.0661780218225
40000	-15678.798956002345	-183.41814410014103	-15495.380811902205	-15495.380811902205	2.1175638569784515E11	2.404956759930567E11	1.6152783623678197E13	2.3022996678185297E13	5.4565105766498645E11	2.0	10.0	2.0	8.0	1.0	-648.2086749529572	4.168793717944102E-5	1.150404531555057E-15	0.9772727272727273	8755.639049700703	4.168793717944103E-5	0.8780611959493867	0.12193880405061375	1366.5626844524854	3358.4890269586845	3143.378570697193	2416.9584847691144	3868.043246645818	3038.9091095731665	2863.839373734288	1902.3466672179984	1862.3686854852772	1539.9897503175923	3499.9637693713134	2543.8441450773303	747.1245171266152	2019.8222156922377	2215.6100589876055	1041.156174409341	3400.0263343848405	3123.4573944320855	2439.512052537169	2477.493536565873	1661.1741391289506	1035.7088947786413	2312.591424077563	1233.3751756193499	1374.9437220718858	1317.2329127986482	982.9789564148138	1360.96584460535	647.5686944250152	2296.2832165756076
42000	-15687.054957572303	-181.9996829489899	-15505.055274623313	-15505.055274623313	6.056084551054412E12	3.35843922335046E11	4.116691260901534E13	8.810814630299145E12	8.534170171404504E11	2.0	12.0	1.0	5.0	3.0	-640.1443219122414	4.221440663416928E-5	6.491756950318087E-16	0.9772727272727271	8937.18508069427	4.2214406634169275E-5	0.8772157944131125	0.12278420558688785	1347.7022705202457	3294.7021344324185	3099.9620936524116	2363.5578356572137	3921.5038827564986	3093.8291095019786	3157.3031089804936	1867.1264214269822	1722.6469107392252	1551.7931466934954	3562.681365122741	2587.638262391814	775.0995240595616	1908.2965110365021	2467.864635599583	1005.8277151298358	3440.565227790221	3141.866524986251	2359.8384437517066	2351.376781234071	1648.0234326972875	1028.6420629499	2306.135221466502	1184.8499629440416	1347.625125680154	1455.5793622389951	1055.20704886252	1352.151301099122	621.0285386186839	2371.1012328680763
44000	-15695.728681659128	-189.21685660924277	-15506.511825049885	-15506.511825049885	1.172029889953841E13	2.9144104397886826E12	8.848529408644808E13	2.572748381526656E13	1.1132222953604908E13	7.0	5.0	8.0	1.0	2.0	-702.0210179833721	4.256810092005836E-5	3.218908780844749E-16	0.9772727272727271	8501.311853790905	4.256810092005836E-5	0.8748147434987249	0.1251852565012753	1361.5200934564525	3310.7222714015284	3001.340132526845	2375.0537549825895	3895.8211150183083	2930.8935009743127	3176.6341438799254	1907.8608614402626	1787.9212189632085	1559.3396427920006	3572.3128547267493	2463.6281737817512	821.1825709525625	1887.6136852368895	2353.7481069613123	1058.919596818963	3828.3830894231687	3175.954898438606	2350.776132004354	2329.3272658468472	1648.0234326972875	909.8639031007776	2306.135221466502	1335.6113218069834	1314.6370696484364	1493.9319824721833	1023.1553310774625	1321.4881224562916	508.83594935319394	2337.284111146152
46000	-15686.64831848042	-185.45938863337975	-15501.18892984704	-15501.18892984704	1.8500384891588133E13	2.036711310426937E13	2.7674576810271416E14	2.0359135111194572E14	1.6776160004633903E14	1.0	5.0	2.0	13.0	2.0	-744.1016635566064	4.350515861340355E-5	3.1495766985491637E-16	0.9772727272727271	8496.2810252954	4.350515861340353E-5	0.8790855033439958	0.1209144966560045	1319.2281935507665	3397.7382086876046	3043.653385220837	2358.3295175612034	3870.5062463800696	3092.7560945879463	3050.6177442949015	1849.1151484370941	1894.9075117443324	1509.940791800943	3572.3128547267493	2463.6281737817512	805.2233116234968	1978.367258838182	2334.101793489814	1081.749722471334	3498.2043952729673	3098.6841303345436	2350.776132004354	2425.3500719987333	1693.1521073348529	1048.6443184576174	2113.33310706456	1217.7662322369486	1289.2288966596313	1428.9008980687486	1004.7654953590121	1472.1284468481867	686.7943232922171	2295.7438467189663
48000	-15685.23075241981	-187.47834622215316	-15497.752406197656	-15497.752406197656	3.696255968618883E14	4.9606487408563195E13	6.090278172538066E14	9.657150529379961E13	2.2039720233093234E14	6.0	3.0	1.0	11.0	2.0	-750.1766417327382	4.43705574453277E-5	0.0	NaN	8119.677214897749	4.4370557445327695E-5	0.8785509008988891	0.12144909910111129	1315.398153094915	3387.942499961137	2710.916637015993	2343.6027065319113	3827.749821026561	3059.56937921093	3105.14111495012	1922.6383215459646	1711.522742220175	1550.0257413975812	3590.069770366676	2495.024471278387	723.7907510369675	2148.712541129861	2292.740241347799	998.3255876143025	3569.0300919683964	2992.9157890050265	2389.0689650338727	2502.6395093803544	1612.7862799353327	992.5872029761995	2432.1811747457587	1159.1351904115345	1391.6153107327925	1372.1268179820772	996.9731239322319	1304.7352641239993	638.7295850087944	2263.2361046468254
50000	-15684.71050974984	-184.17501632658525	-15500.535493423255	-15500.535493423255	2.493479321686759E15	3.8518966271226756E14	7.90659679095219E14	7.985298071662876E14	1.1664583639061885E15	2.0	4.0	3.0	13.0	1.0	-788.9276678505322	4.284023396097149E-5	7.996153450065919E-16	0.9772727272727274	8417.880127139808	4.2840233960971497E-5	0.8754290425359734	0.12457095746402702	1362.7712870361863	3390.4706485433203	2843.648955646204	2370.1847787806378	3874.6169952664595	3021.5297643639565	3050.7794225487164	1832.9198823421395	1753.2434869650672	1495.4250234199424	3524.857401800178	2495.024471278387	780.6008336317184	2081.2977428239187	2292.740241347799	1036.896079272832	3318.7587819697997	3078.5078073195155	2379.874900177019	2398.854117008389	1644.3976691465996	985.8061665639325	2293.682403944665	1212.9076265740173	1310.3582011933106	1441.1669690936399	1085.9463028402045	1304.7352641239993	566.3340273308406	2443.812583886015
52000	-15692.853422326378	-188.04234544789003	-15504.811076878488	-15504.811076878488	1.6216533044261706E16	4.478190030372458E14	2.387492136953827E15	9.034996614679019E14	3.6493601844997655E15	6.0	2.0	3.0	10.0	2.0	-813.6863512693739	4.4177758736243485E-5	7.75406209794023E-16	0.9772727272727274	7871.157993333334	4.417775873624347E-5	0.8700499277597044	0.12995007224029598	1362.811954811317	3120.776929806091	3170.877733332291	2370.1248205030083	3931.726814725835	3104.0928003245363	2990.8656114897553	1901.722815581546	1787.0511884599061	1560.0997176616077	3527.3886403811252	2519.9170108394105	851.7480907561809	2116.4655895889573	2313.8532933603487	1036.4960147551335	3219.075975907947	2965.8400439175225	2445.529839547767	2505.327837736437	1672.0905562013822	1037.522057980642	2257.1023265361673	1234.2084722264824	1214.225381737708	1528.4559626502064	1029.3039332755895	1512.416965988011	742.7158281211242	2246.8355224219345
54000	-15687.2754182015	-182.87087229351147	-15504.404545907988	-15504.404545907988	6.0301800097168232E16	3.7564194231633244E14	9.287807576193214E15	3.5368546532557095E15	2.30650980062942E16	3.0	9.0	5.0	3.0	3.0	-822.2260608972971	4.549132856308434E-5	1.2048259583841112E-15	0.9772727272727271	7876.21565015295	4.549132856308433E-5	0.873464904864787	0.1265350951352132	1340.8019108401095	3139.92434298934	2999.3897328742078	2331.7925099107365	3938.6699937442113	3179.2932182007844	2949.3354760279713	1777.96286894493	1728.3853678682005	1505.2295599007289	3347.9806757230276	2508.1819566223744	804.0356413831827	2067.0501254679184	2455.2762717427063	1019.2380159224731	3415.465382191471	3069.962621197733	2482.44238191547	2466.9097835318944	1652.1929873922436	1017.9288660269305	2324.270706101604	1236.5250592587352	1349.4180945896521	1500.853342814651	990.0581884108835	1325.1195534042838	780.4469439030026	2349.226411257809
56000	-15678.705485007242	-182.96200125825803	-15495.743483748984	-15495.743483748984	1.39833130159143024E17	7.188940934301504E14	3.7269654040600656E16	3.1838736346689796E16	3.7202921825551648E17	7.0	8.0	6.0	1.0	1.0	-857.4234083928898	4.468920969294537E-5	4.599191889169555E-16	0.9772727272727271	8238.492050797511	4.468920969294536E-5	0.8774313303293222	0.12256866967067791	1346.3738277571608	3311.2409331333556	2842.5332715140303	2281.0634784825456	3885.806862193749	3023.6501080106505	2839.0928643113475	1890.846272810945	1733.1865327852456	1564.2289820340634	3304.492383690735	2508.1819566223744	736.4665366763387	2158.9678497434406	2356.3502426183154	1039.6363805442538	3323.759594004642	3174.088988560071	2360.246717379407	2470.292477695505	1604.9970654430672	1010.6512552799796	2257.450639799183	1270.4075501493353	1292.5436854494978	1404.9137223918492	962.6188243136386	1298.9862074420284	614.8362693557323	2344.2603719849644
