# BEAST v1.8.0pre Prerelease r5356, r5356
# Generated Fri Dec 13 11:38:51 NZDT 2013 [seed=1386887931252]
state	posterior	prior	likelihood	treeLikelihood	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline	meanRate	coefficientOfVariation	covariance	treeModel.rootHeight	clock.rate	frequencies1	frequencies2	hfrequencies1	hfrequencies2	bcov.alpha	bcov.s	tmrca(baltic)	tmrca(baltoslav)	tmrca(celtic)	tmrca(germanic)	tmrca(indoiranian)	tmrca(iraniangrp)	tmrca(italic)	tmrca(northwestgermnc)	tmrca(toch)	tmrca(westgermnc)	age(luvian)	age(avestan)	age(oldnorse)	age(latin)	age(oldpersian)	age(oldhighgerman)	age(hittite)	age(vedic)	age(ancientgreek)	age(lycian)	age(gothic)	age(oldchurchslavonic)	age(oscan)	age(oldirish)	age(tocharian_a)	age(classicalarmenian)	age(oldenglish)	age(tocharian_b)	age(oldprussian)	age(umbrian)
28000	-17229.333984793728	-195.22233181719872	-17034.111652976528	-17034.111652976528	1.01493294760937E7	4.525614657653275E7	38455.44931207279	3.502586068032639E9	2.316006362340455E7	1.0	4.0	10.0	5.0	3.0	-357.18548398279233	3.444594833979452E-5	7.955817182548721E-16	0.9772727272727271	6051.788990053013	3.4445948339794503E-5	0.5545196493544093	0.4454803506455909	0.5	0.5	0.9812176379643708	0.5246922345623901	1373.3981618743207	3368.2019779718594	3093.5482849871146	2372.9175217557454	3745.230645830983	3204.912084886956	2908.911781620774	1961.6954072555593	1836.7612397170037	1576.485892047404	3232.136608906851	2520.729566715587	697.1035251582595	1983.8923921316532	2303.4335919745076	1012.3063990106343	3268.9624171819974	2690.6076963234823	2350.4739223524566	2275.344921701223	1673.7877440511838	1120.400421701443	2289.1202029768087	1248.6321573409357	1253.763908767655	1469.2348402525301	983.6131945064709	1317.0485023468495	643.1155663812449	2292.0624605206735
30000	-17164.756365948517	-191.5852347523949	-16973.171131196123	-16973.171131196123	2.744930144546266E7	5.421479470121987E7	70118.76670794738	4.298487739088876E10	1.6732812049153337E9	7.0	3.0	7.0	1.0	5.0	-383.523343147154	3.5323683621647836E-5	1.939532061592353E-16	0.9772727272727271	6188.946796951776	3.532368362164781E-5	0.5643714360866201	0.4356285639133801	0.5	0.5	0.9929279609727432	0.4235343859352683	1370.7502453618831	3341.710123545447	3087.566986665215	2443.479071061705	3954.8755560343084	3088.6591198451915	2874.8418583920275	1977.0436447274274	1893.2475527252761	1517.7927182503606	3503.2910057388417	2545.9474565042337	778.7689002969648	2108.1505060548975	2316.050280483254	1023.4300915511213	3127.769467892908	2822.0172509970885	2333.3350270524784	2343.6214950546187	1707.0027374838799	1000.9889444635041	2058.3130126498677	1149.4217721088305	1365.0530277784069	1495.2556724527985	952.8004580347191	1475.9480871803287	557.0056087038948	2131.6313870825843
32000	-17123.242991009432	-190.4676279874644	-16932.775363021967	-16932.775363021967	1.1177634483135195E8	2.9519798630447435E8	453943.34670138743	1.6386722259809293E11	3.25433639164475E9	1.0	2.0	7.0	12.0	1.0	-480.75892112015873	3.5354516849917046E-5	1.9378405652824347E-16	0.9772727272727271	6188.7329811137915	3.5354516849917046E-5	0.5708705417057153	0.4291294582942849	0.5	0.5	0.9929279609727432	0.29855392510247813	1392.8462482680818	3395.58452095654	3282.441354047942	2482.882182784331	3817.5827980754393	3097.925657659492	2921.1538817927017	1938.8226746036485	1889.1976375028903	1525.8568820481428	3503.2910057388417	2497.1142466111196	719.7557847586345	2212.1698896129537	2368.1156889788285	968.6464305397766	3636.698431818427	2822.0172509970885	2406.330511112805	2326.5760478513967	1700.871108153494	918.3601290981563	2105.6408389065614	1207.8489450479624	1375.970664976325	1522.5617978915975	926.2847193654446	1330.250452786573	539.4085348184385	2159.652069336221
34000	-16950.93998880137	-191.0643792922061	-16759.875609509163	-16759.875609509163	6.072454147985035E7	9.103395501381347E8	372429.7913654259	4.323196615944325E11	1.7982656269043137E10	4.0	1.0	5.0	10.0	3.0	-495.4350907774333	3.688736979059688E-5	9.286568452380583E-16	0.9772727272727271	6254.932225966414	3.6887369790596874E-5	0.5988175856119535	0.4011824143880466	0.5	0.5	0.9929279609727432	0.2997748786404226	1371.3989250838147	3355.5577268029565	3048.78429857205	2402.514478753277	3812.0208261418343	3254.714412305168	3088.2393872486714	1969.8293153245968	1860.1578730021026	1573.0201718291064	3335.3455812774146	2545.492444580442	848.7684364490607	2063.7631364083095	2433.5462133206775	964.9076592649853	3540.3610421372196	2815.907110080051	2356.8549592304125	2303.258781412691	1612.9150518097392	949.6095923445947	2100.7646862599368	1159.290868996277	1296.740575379023	1332.5363041193211	1038.0813795658605	1489.553780987145	598.907378652023	2293.924880673679
36000	-16948.369484382205	-185.94201050946276	-16762.427473872744	-16762.427473872744	1.1063852362960233E8	6.828953696384284E9	2082726.6598067244	7.950728170797928E11	2.117182132309729E10	3.0	3.0	7.0	3.0	7.0	-474.02606587818866	3.671766343594436E-5	0.0	NaN	6185.954064902827	3.671766343594434E-5	0.5989145107593327	0.40108548924066745	0.5	0.5	0.9929279609727432	0.1607303530815252	1365.2480416689393	3329.609946838423	3055.6288667723247	2424.3212066295473	3660.6891233989313	3196.7971036984823	3032.8113484201767	1932.0805153824158	2056.0951451101146	1537.8193149072165	3376.4732985112737	2473.451669048035	811.4354893864001	2109.4936016922697	2463.519827864481	988.1595223386158	3409.814554632067	2754.987602212762	2356.8549592304125	2340.6973074678467	1612.9150518097392	1066.9501109328469	2216.744423289462	1154.0427094244296	1385.0704642367223	1495.258620860413	1008.9074343071808	1450.2163932482144	566.1290129379508	2211.8375214864186
38000	-16953.498199596626	-185.30853940610257	-16768.189660190525	-16768.189660190525	1.4651261441959736E9	2.1227954849319542E10	1494478.4449493645	8.4652919556394795E12	1.7622799774475445E10	1.0	2.0	1.0	15.0	4.0	-623.7588467590864	3.5207514210619516E-5	5.837795009430037E-16	0.9772727272727271	6337.941122808057	3.520751421061952E-5	0.5989145107593327	0.40108548924066745	0.5	0.5	0.9929279609727432	0.1591659625946263	1385.0614584154903	3378.05418686475	3363.051790148763	2418.4719939601923	3940.091060311364	3282.8770524310344	2864.884426772421	1960.1721329851086	2079.4963857698262	1543.304349736737	3428.2421852842062	2479.1358386859083	745.9456438692746	2132.794514303318	2309.2178188662688	988.2137624058021	3457.946160390734	3009.7323297600756	2365.825705824191	2433.3133576130185	1612.9150518097392	977.7388480667574	2216.744423289462	1235.250860317251	1447.9708332425182	1410.175869426981	1022.3270996054536	1326.5154510525708	452.08804917427494	2286.055680962733
40000	-16908.31904050156	-185.52521794412488	-16722.793822557436	-16722.793822557436	4.632788255646959E9	1.998478055872559E10	7401410.600957736	1.3275969386333469E13	2.142615015177696E10	1.0	1.0	4.0	12.0	5.0	-590.7966818235387	3.6879449170959355E-5	9.28856293380864E-16	0.9772727272727274	6363.991825442538	3.6879449170959355E-5	0.6060944363191454	0.39390556368085466	0.5	0.5	0.9929279609727432	0.1591659625946263	1373.9785700828577	3279.9763677030696	3275.738080793449	2378.278934573806	4000.018095191689	3574.7621492534563	2852.7401728173218	1977.703068507503	2062.892119326356	1576.9323467433403	3454.4633147372037	2490.860964611353	791.2700370289768	2005.1903681146812	2504.3670397535707	1019.1403869450263	3419.2201190759215	3081.860336196576	2354.9909931406446	2473.6293304549117	1639.7873293786347	1054.120342078066	2071.4196136771	1106.0893122990642	1369.5428081534703	1456.7452203697774	1027.3808471547964	1380.4164233261226	502.088855825314	2222.622611102829
42000	-16871.875908246246	-183.12577129503768	-16688.750136951207	-16688.750136951207	8.752960122237154E9	4.321173058565408E10	2.1494091517832443E7	3.7104448415855625E14	1.5231981827681848E11	7.0	5.0	3.0	2.0	6.0	-554.9375649585344	3.682900259119714E-5	5.580771573822598E-16	0.9772727272727271	6226.156046574566	3.6829002591197137E-5	0.6129311482871309	0.3870688517128691	0.5	0.5	0.9929279609727432	0.1677258274039745	1373.9952303746084	3389.3565875890167	3246.180794555647	2511.867160910815	3975.6750393400084	3088.4331395238764	2987.2823247082456	1882.6848698518713	2154.3907520170883	1527.8160207604326	3553.8875642638136	2490.860964611353	798.0557417014752	2127.098769459457	2417.9899152513794	1029.4782549763595	3484.459093971894	2929.71083678201	2338.3806441007637	2382.6235611893508	1623.5371563543163	1076.8396088931381	2230.996878743724	1214.125667981008	1435.1769731067461	1419.2504274208557	955.9946011498006	1377.2227962309362	700.2880427675004	2319.0431703698578
44000	-16866.585013415413	-181.16892832532704	-16685.416085090088	-16685.416085090088	8.577042396858238E9	1.2206121792623215E11	1.0779536936299002E8	1.6736777627326185E15	4.8209097745103876E11	12.0	1.0	4.0	4.0	2.0	-567.997494601366	3.871418767724897E-5	1.7696720770404408E-16	0.9772727272727271	6476.971008398663	3.871418767724897E-5	0.6129311482871309	0.3870688517128691	0.5	0.5	0.9929279609727432	0.14570253994042048	1375.92731567535	3296.9020962680593	3017.603908277605	2515.4708717630215	3744.4282623349873	2983.224133831025	2879.8333234598526	1975.7685103174176	2048.037094830412	1545.8336702320128	3414.9768693366864	2509.209359525877	753.8375658129985	2000.5232390628355	2383.3342833116853	1045.4367164710504	3448.939965856926	2865.2580790889383	2386.2884901533503	2445.701949594937	1623.5371563543163	1040.104882210677	2147.909348461627	1196.3024802682462	1383.5673180624976	1542.739053250122	1000.283973969347	1467.7451284053466	639.9731251058956	2178.1876978517935
46000	-16866.891751741383	-185.55351022944797	-16681.338241511934	-16681.338241511934	2.5708552383674236E10	1.0643087740152078E12	2.596178434688452E8	5.69243067895944E15	8.539878960177347E11	13.0	1.0	4.0	1.0	4.0	-562.974083114253	3.813371728088815E-5	1.0779659860550823E-15	0.9772727272727271	6355.897776189431	3.813371728088815E-5	0.6129311482871309	0.3870688517128691	0.5	0.5	0.9929279609727432	0.18044819703688653	1348.593910102735	3223.287923588484	3211.270689032714	2399.58362290052	3941.1086271538356	3094.2662448671226	2889.9822661478483	1910.7444099648185	2086.849144220872	1596.9175765967775	3456.8444790815115	2509.209359525877	819.2769965313352	2012.5961215733678	2307.632974610618	969.5372889110813	3448.939965856926	2980.3078268978124	2351.6878508685377	2327.769035013499	1632.179102443609	1032.400458203714	2336.482504032305	1219.9250178738673	1437.7633342955344	1458.0829292153428	1017.8698004013753	1456.962454921535	470.4576532387102	2272.5826095532275
48000	-16862.55075745368	-181.62059404949508	-16680.930163404184	-16680.930163404184	2.7048134123755792E11	2.432287514520959E13	7.613190277386552E8	1.3922661221994152E17	1.2375591090048355E13	14.0	2.0	3.0	2.0	2.0	-630.768392884658	3.719508650786316E-5	5.525844138304161E-16	0.9772727272727271	6514.311257234367	3.719508650786315E-5	0.6129311482871309	0.3870688517128691	0.5	0.5	0.9390147786916806	0.15153296325867271	1387.1273696843152	3315.3713873070938	3302.9805680342233	2536.6459857450827	3807.554539748515	3040.7336381440873	2967.2338834342795	1936.558257442488	1941.8357907974525	1522.3468896270024	3506.0899175169166	2509.209359525877	769.7466316047988	2086.953589971105	2320.307370180749	1032.5242001551605	3359.7696691735932	2954.5407583878846	2391.435025937074	2421.294801882585	1632.179102443609	1010.008629454142	2280.360960467013	1276.8543578841588	1394.633640094029	1545.733100611578	993.9597763135564	1447.3952700556276	650.5959911673954	2268.901486793475
50000	-16807.545792504763	-186.2537178367095	-16621.292074668054	-16621.292074668054	4.0300525862675104E11	5.341660216047844E13	2.431571645012745E9	9.3853364788992102E17	1.7125955355897418E13	15.0	3.0	1.0	3.0	1.0	-671.8933657825336	3.723589466504317E-5	1.1039576333647031E-15	0.9772727272727271	6497.934154346943	3.723589466504316E-5	0.622742062372469	0.37725793762753107	0.5	0.5	0.9556430119203604	0.16464073810617105	1412.5430823525708	3376.0837341120123	3250.72924750917	2353.556520360303	3855.205590094691	3271.6703640844084	3046.327352957627	1944.0258289513804	1830.127464055037	1522.3487721109302	3506.0899175169166	2462.4579153000063	835.1799577596801	2030.0857985379484	2373.3615707482095	992.1333995315916	3561.4686314902406	2922.7779075336703	2408.300047765584	2430.491535929912	1630.0956830275375	988.6329098576256	2058.689437232358	1294.9018491209163	1390.8186749777476	1430.5421759473743	1006.7173265853033	1306.592049270387	684.6473860144556	2230.349401851787
52000	-16784.332619251163	-184.99125129756231	-16599.341367953602	-16599.341367953602	1.1424677093777754E13	1.4211625602651762E14	1.5820813150621935E10	2.9247183928046418E18	2.1226131842406966E14	14.0	1.0	1.0	6.0	1.0	-765.1146323377664	3.8937246434538605E-5	5.278602612507197E-16	0.9772727272727271	6335.656707675754	3.89372464345386E-5	0.6270728612570171	0.37292713874298294	0.5	0.5	0.9596251476874984	0.10174016120534647	1362.3134777459115	3326.3355010285477	2957.993310100817	2364.9110321336125	3887.7091752508754	3182.9788226128207	2975.553474784	1919.6272494276768	1874.8575166334697	1545.4896394817456	3470.3972413210836	2584.7584794061913	790.4607640322874	2012.5962476209063	2398.680225143739	993.2366162929158	3471.6784715836907	2895.334490951087	2360.3817913064827	2414.300507756296	1630.0956830275375	980.3695474617263	2264.744403843555	1033.9801718551673	1407.9107052134084	1385.8754619617255	1073.730022270239	1341.5614852145013	608.7616593597581	2230.349401851787
54000	-16784.680705984156	-189.65455865761635	-16595.02614732654	-16595.02614732654	1.6181146108222328E14	4.256599704391449E14	8.100087950313939E9	1.7197377834880231E19	1.1196988682403538E16	10.0	1.0	2.0	2.0	8.0	-790.7074263906162	3.7709648852087274E-5	7.267255888429039E-16	0.9772727272727271	6490.492369097106	3.770964885208729E-5	0.6270728612570171	0.37292713874298294	0.5	0.5	0.9596251476874984	0.05919403945630918	1398.689981780864	3399.5266289530105	3292.708732554408	2390.905064312424	4052.05717023798	3200.017700921555	2904.0929455594496	1989.8184037396834	1884.948772329084	1553.804931415812	3424.5599046712473	2532.5495355732514	791.9292763698519	1944.6374013280638	2398.680225143739	965.9116422513763	3268.923008640974	2848.2290543804284	2360.3817913064827	2467.1568385163996	1696.3231495077837	961.6325349569272	2130.7725372901987	1124.6288870620492	1334.5161070823935	1538.663504070684	968.837010371528	1358.6054438282026	445.7136260940999	2301.934935774036
56000	-16779.22889693224	-187.57679080414505	-16591.652106128095	-16591.652106128095	2.9435427082640244E14	3.804010635149498E14	9.458831575651357E10	4.024266269776481E19	1.0579296300319086E16	10.0	4.0	5.0	3.0	1.0	-766.1330931192143	3.7868278459961616E-5	0.0	NaN	6240.682074755191	3.786827845996161E-5	0.6270728612570171	0.37292713874298294	0.5	0.5	0.9596251476874984	0.056339612745822686	1410.6181412792591	3285.4807434367526	3214.1521661279453	2473.2072971080042	3829.9018221706738	3109.797778424897	2855.923781858467	2011.9721042366652	1902.116815146441	1542.036724932045	3278.005470055327	2513.5933307174178	795.3081437155803	1950.9433888807807	2352.464050295569	999.2470298726466	3307.559179176841	2885.236496623712	2461.9324274586743	2273.5877719895357	1697.9690425365561	1072.910282671029	2143.1768137989816	1222.295001246353	1374.1772220109515	1425.1317020892684	987.4277859714875	1402.5851426694564	557.3967612727698	2334.4104473417324
58000	-16773.33788597124	-182.55086023630162	-16590.78702573494	-16590.78702573494	1.4705305184142502E15	1.4233561916492348E15	1.3302109232260768E11	4.16118130519831E20	1.8568262935607756E16	10.0	6.0	5.0	1.0	1.0	-771.6013591159276	4.024650870022976E-5	1.021376797098519E-15	0.9772727272727271	6113.0538594094	4.024650870022975E-5	0.6270728612570171	0.37292713874298294	0.5	0.5	0.980754339603456	0.044757722567245715	1359.283017986252	3302.21386912068	2910.2134503119355	2449.2299805707958	3911.3768702903094	3038.4780151586037	2871.1520128259367	1920.7103499302136	1828.855125888855	1510.642139657875	3327.6901206460457	2510.071402292786	821.7165627103948	1945.6765107120611	2352.464050295569	969.4296815588754	3267.857191533289	2877.7878614894917	2346.49340931211	2361.9835245067957	1598.4968107516077	1035.0988290841462	2173.0841954668463	1202.375420236724	1344.1481385486084	1462.2670404728838	975.1610659417221	1411.3600225531652	665.5175110656634	2168.633947060232
60000	-16774.1647340313	-182.63320103628817	-16591.53153299501	-16591.53153299501	1.9029872704356396E16	9.08270209301928E15	2.6610796736669785E11	1.754528316093808E21	2.88210755478393E16	7.0	2.0	4.0	9.0	1.0	-919.2607393873153	3.782153009968094E-5	9.05719794217271E-16	0.9772727272727274	6503.336710865321	3.7821530099680944E-5	0.6270728612570171	0.37292713874298294	0.5	0.5	0.980754339603456	0.05687715646392088	1356.720684188877	3306.8004248568495	3302.034660588912	2368.47261930483	3904.4457511514356	3142.7101297791414	2923.280810142881	1959.2249152017027	1879.338047154704	1552.3569502177897	3407.1108600242187	2498.4902914609593	769.0282072753791	1949.0577215909182	2414.752295390091	985.1020596225137	3519.0914632264	3070.4871152617484	2437.143000666054	2298.0614425780427	1631.9134544346007	982.9203090097174	2192.5552119664885	1160.9336129981107	1354.7662013070646	1387.5918731190488	1047.1094880864641	1452.3944155666507	640.3356064124059	2433.5167534431434
