# BEAST v1.6.1, Build r3651
# Generated Fri Dec 13 10:58:55 NZDT 2013 [seed=1386885535471]
state	posterior	prior	likelihood	treeLikelihood	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline	cognate.loss	meanRate	coefficientOfVariation	covariance	treeModel.rootHeight	tmrca(baltic)	tmrca(baltoslav)	tmrca(celtic)	tmrca(germanic)	tmrca(indoiranian)	tmrca(iraniangrp)	tmrca(italic)	tmrca(northwestgermnc)	tmrca(toch)	tmrca(westgermnc)	age(luvian)	age(avestan)	age(oldnorse)	age(latin)	age(oldpersian)	age(oldhighgerman)	age(hittite)	age(vedic)	age(ancientgreek)	age(lycian)	age(gothic)	age(oldchurchslavonic)	age(oscan)	age(oldirish)	age(tocharian_a)	age(classicalarmenian)	age(oldenglish)	age(tocharian_b)	age(oldprussian)	age(umbrian)
192000	-13974.242915092711	-180.91017159600727	-13793.332743496703	-13793.332743496703	7.509123625782973E58	1.1271712609095123E63	5.66255038396002E73	1.0446989036628934E67	3.529249871785562E57	3.0	9.0	4.0	3.0	4.0	-3385.6161880032955	1.8436942247283415E-4	1.0	0.0	NaN	8002.00502045232	1355.0823744973975	3384.6897036899068	2732.936152214124	2255.6873024836923	3858.351512449698	2805.0200222867797	2824.023268680648	1897.7261307854817	1785.771517395982	1499.6890978383497	3166.3480390564337	2474.2315226854644	832.6395742342403	2060.3603919814686	2396.742987787535	1099.0424500025442	3296.7220556717552	2984.929584366685	2433.5249804855866	2463.465972474176	1622.6237370989911	951.222104201861	2221.109616692143	1243.479641480432	1392.2529934875702	1314.3301156946388	1054.4453833509142	1322.5897776044578	535.2118065664888	2325.031582146834
194000	-13965.524288508794	-183.20187068268595	-13782.322417826108	-13782.322417826108	9.930846604253668E58	1.753935200578788E64	6.864306504553857E74	6.00267118027355E67	3.1566098743571417E58	12.0	2.0	3.0	3.0	3.0	-3315.24900445064	1.819261012358456E-4	1.0	0.0	NaN	8035.395504652754	1355.1002595065122	3384.711545828624	2754.884955458275	2364.9746370846	3881.880239378034	2804.9858824930907	2823.9770478250443	1913.842329791852	1786.6695928635681	1544.7109771526443	3100.520485023663	2546.009914718481	853.9598312399879	2166.648895390605	2430.2027347099397	1005.3562565377199	3436.112558007949	2980.7428490308002	2385.6217193860416	2602.2976416235806	1696.1992526798358	1015.5652915385606	2221.109616692143	1204.886173704939	1281.7744041824485	1438.8703501992263	1036.8455714422835	1294.9626308119934	636.6731559379411	2325.031582146834
196000	-13971.474889307094	-187.6865193927144	-13783.788369914379	-13783.788369914379	6.22917289211752E58	1.1560843552496984E65	7.1478642883647224E75	3.8381882160149703E68	3.718987650952784E58	1.0	6.0	2.0	13.0	1.0	-3571.4126035996396	1.901205046592134E-4	1.0	0.0	NaN	8135.154407899902	1355.139005914143	3261.1201987097897	2642.578643934537	2421.636587342392	3881.8905682876184	2858.8409918658194	2823.979551428796	1934.0665313402756	1787.8675172037745	1508.1263844247387	3107.195558296447	2571.2574686243606	818.8428576010184	2078.379058832572	2461.3468464173775	1045.2472343319441	3346.3999036173477	3213.8070357975917	2385.6217193860416	2688.512925752087	1637.3350202329766	1047.887278044182	2294.2486894275366	1197.4989232884186	1369.8900244643464	1438.8703501992263	1047.9163785387743	1375.591754615789	563.3120205225295	2310.986678544218
198000	-13979.847820155988	-186.50753160698923	-13793.340288549	-13793.340288549	1.8358256928939554E60	3.441039080231109E66	3.1407130126733E76	2.4008302248398097E69	3.131926016544348E59	1.0	3.0	1.0	16.0	2.0	-3604.5779993330416	1.918939710027839E-4	1.0	0.0	NaN	8262.572138334506	1357.6766364736518	3267.017356494704	2931.0323847795134	2240.8706770925332	3835.2868960659666	3038.623726279302	2827.564506534465	1872.596649226759	1791.1695938594917	1510.8617256442337	3078.5969618481695	2571.2574686243606	740.4659149042718	2086.0881296017365	2582.304317673401	1010.6564573667483	3339.3879184870902	3155.2424106022754	2379.082131830181	2530.8039594528886	1637.3350202329766	941.5000557279857	2194.42462642858	1152.72267559705	1346.0051205357481	1351.2085628586947	1006.2265951164306	1338.817234717544	602.233892724348	2371.16922958888
200000	-13974.57401367545	-181.54879212604942	-13793.0252215494	-13793.0252215494	3.286470311594142E61	1.3993323646201804E67	1.8576060648533622E78	8.182943573933596E69	1.7081193282976835E60	4.0	2.0	2.0	5.0	10.0	-3428.057366006439	1.9014935932962256E-4	1.0	0.0	NaN	8105.4738286681395	1357.7426731560581	3267.0146280310405	2958.487915631606	2400.7646393174573	3758.856740796127	2800.0665636942076	2827.6032693579727	1843.6477082207855	1805.5493525195816	1510.9354834016733	3090.2726801799545	2593.063019583577	775.2793417086878	2007.0440108823182	2416.691568510382	1026.8390650841786	3169.2690284340138	3050.6249530615382	2354.1549802331792	2487.6929693739307	1689.0563191769093	980.1038236639674	2158.940088998502	1271.641980080529	1272.360155268893	1381.3981528617992	984.5703022599726	1285.8617426948258	574.715548737589	2343.357200691203
202000	-13972.253229469838	-189.36330318915955	-13782.889926280677	-13782.889926280677	3.23164423952718E68	4.814255623092177E81	6.549170654288623E93	4.2874231002970794E82	2.0341060397150437E77	3.0	4.0	5.0	7.0	4.0	-4349.579067270996	1.9331584588503473E-4	1.0	0.0	NaN	7857.971018692245	1360.535391017192	3359.2175330345776	2764.262271420162	2271.483582121356	3771.8121034164255	2825.959656630505	2834.936111691951	1902.7990689384949	1681.7427705818786	1515.6513926237394	3090.2726801799545	2577.354124413214	868.6109696182181	2193.131646479574	2390.2728931714487	1096.8193839524029	3348.536682851551	3083.8270230299395	2439.4954893187337	2551.5100343111594	1622.9496268771836	947.9304678497908	2212.664911038319	1199.3122697846582	1330.6105423001482	1394.0708856400115	1038.7081545441931	1285.8617426948258	825.837950647393	2346.032671897264
204000	-13976.315753920595	-189.44097850635563	-13786.874775414239	-13786.874775414239	1.1619815757442254E89	1.0795127232748044E104	7.2412510246349135E112	8.940954441521574E104	5.076586835108509E95	1.0	5.0	13.0	3.0	1.0	-5726.456913459636	1.9636146593486687E-4	1.0	0.0	NaN	8220.74707608521	1350.939278566719	3354.0326978198455	2791.6774484024563	2240.901670788498	3766.9378647089625	2786.369198711688	2833.180841261414	1862.6727249530177	1745.1241678999495	1512.6045594951793	3110.138147047598	2621.7852612562715	764.1531067480194	2037.9813420627115	2367.2226894156074	1015.1387626032595	3348.536682851551	2893.35169386835	2408.72673518848	2676.860085167963	1638.3922704948402	977.4565778416139	2212.664911038319	1209.55790505269	1278.2335540766867	1412.7401743282128	976.7019880879941	1347.1186867015228	773.6272950400426	2253.735400042603
206000	-13971.328662602307	-187.32099238832723	-13784.00767021398	-13784.00767021398	6.402496539574087E108	5.245542424301345E123	4.1685678872513994E136	6.8813854655047795E121	4.917106958286884E108	5.0	9.0	3.0	4.0	2.0	-6383.005217422136	1.9246258533956028E-4	1.0	0.0	NaN	7821.654218693951	1346.134521625014	3270.5312531980753	2863.315261660105	2239.4078307757823	3749.506277461428	2902.1122441128646	2820.151945064204	1921.5667671071012	1818.0097105696407	1504.3517624767342	3080.9077617094954	2526.5961759064485	756.4215311253836	2110.058350767057	2469.521036312428	1096.9010134695004	3358.304895930641	3056.4313905555905	2457.6599891670776	2568.8074165708704	1675.8630107453744	991.6562748660502	2337.7859309623173	1142.7136351271436	1311.701508221705	1415.6728725135279	970.6372964771456	1415.8444742586887	549.9489618992253	2420.44852251361
208000	-13988.55494490238	-203.01651727300242	-13785.538427629377	-13785.538427629377	1.6812491259831419E131	1.1240457096822803E147	1.5860977475376587E162	5.185544222838448E140	1.200590425040205E120	1.0	6.0	2.0	4.0	10.0	-7141.661363813715	1.8439253650445487E-4	1.0	0.0	NaN	7949.65039915953	1346.0157225663888	3216.797354240169	3059.0942669414253	2252.2022983271595	3922.9742151814385	2801.803621015198	2832.890291831931	1967.1160756136408	1873.1616598295843	1556.7138508167698	3080.9077617094954	2492.496642302286	863.2246275382265	2265.67776150694	2282.3161459153807	1006.2989191396043	3250.7425270231715	2970.5317884803026	2421.406027515794	2673.00784920049	1643.6957440135811	1024.6625016493952	2362.7115344576628	1313.7356496578102	1506.3470338746515	1591.003186718804	953.1749457069866	1254.7759375463943	475.1810361368667	2366.9644970400086
210000	-13967.119076064844	-180.62957435825587	-13786.489501706588	-13786.489501706588	1.3797876356166216E151	5.766757453664701E168	5.675456651962365E187	3.346430346686121E166	7.569756640059169E141	3.0	4.0	4.0	2.0	10.0	-8361.421341516992	1.8856050559650414E-4	1.0	0.0	NaN	7856.936196433366	1349.7011427233247	3241.231720116629	2792.3554616491892	2268.732024899544	3985.56666635155	2699.8395126659802	2837.7526534315593	1897.0490483974943	1815.1086976457375	1548.394478669907	3098.073660199365	2495.9721520184335	770.398148678439	2119.994251991372	2313.866772193071	1048.2737813773626	3296.8853508828875	2977.8304053730385	2421.406027515794	2542.7565561659762	1629.6886820425946	970.4706527877745	2282.640439110169	1181.7798683520016	1350.9580981802233	1466.8179121529258	1034.5300946998511	1265.099728845609	525.4045199821396	2300.3273210792845
212000	-13976.162772082374	-183.3308698992367	-13792.831902183138	-13792.831902183138	1.9058332560529153E174	9.450794828805411E189	3.34635490833583E205	3.906568423799834E188	5.348678504736377E161	5.0	2.0	7.0	8.0	1.0	-10040.39000458823	1.7883669397073193E-4	1.0	0.0	NaN	8496.759615640825	1314.3332699389975	3332.523726459	2995.4839038820755	2281.2930923374297	3880.0914463643803	3030.346025988613	2858.9843695419477	1950.1081145843293	1704.9739120001748	1558.202603554617	3098.073660199365	2573.7752260355355	734.2872310421895	2162.716059144018	2348.2938168564924	1059.1910689742497	3333.9853160022517	2936.485697153655	2397.7671871827533	2535.8283675027606	1660.3631179690344	1003.7560780080523	2246.5531404001144	1297.3729133894817	1330.8782946534552	1483.9247267909952	1025.9275144279168	1253.998901382103	483.88227427553085	2326.760726319554
214000	-13975.776992252915	-191.06338983992097	-13784.713602412994	-13784.713602412994	4.020803859775379E197	4.685267773554387E212	4.91739056220055E227	1.2782488680788572E206	1.5920225490269412E181	12.0	5.0	3.0	2.0	1.0	-10847.698985845953	1.8142090024484732E-4	1.0	0.0	NaN	8098.27322582501	1324.828974588649	3298.141790796821	3175.9767878403427	2233.8456473318142	3891.4101818371078	2871.775318227087	2824.03172638105	1928.034995881398	1788.5844422886519	1535.0642796495426	3098.073660199365	2589.6818925011944	793.5520976201636	2103.110228745366	2381.0813846760434	1010.6464076804989	3275.506340357758	3103.4257929196265	2390.325568311909	2560.001043865503	1610.2709242028573	952.2088215157029	2291.620233372957	1171.063617250072	1268.00838768122	1532.8958796142433	1057.5165727072917	1314.108057064573	881.5188715324792	2318.3939054851726
216000	-13981.203786204842	-179.5482600029203	-13801.655526201921	-13801.655526201921	1.3105992262915013E219	1.0285421472629492E233	3.314030386732888E252	6.9711510659141195E227	8.39610345845614E204	2.0	1.0	14.0	1.0	5.0	-12569.802457981094	1.835383078383325E-4	1.0	0.0	NaN	8215.61037811209	1341.5202926862335	3331.5218631172243	3163.4204683373882	2307.9373459245617	3752.5185352793233	2758.941563345786	2852.1287383536846	1937.6583477495656	1921.635450438098	1544.5234005812454	3076.548006022519	2529.0829424640865	752.3159036847999	2086.8607971847755	2377.789081790964	1060.760329744843	3337.372698359566	3028.9251916959165	2459.042746499423	2488.4296743870336	1687.9212937425864	977.6570561929358	2316.8909124367947	1177.5782518824467	1334.428335253769	1460.720802426678	997.4465497397782	1377.9837352250702	554.3213383404996	2314.3641217084955
218000	-13983.923269884463	-188.6606564525054	-13795.262613431958	-13795.262613431958	1.8197929504729303E249	4.505038348229492E250	3.3883129249637824E276	5.694301197518873E255	4.7734432824498924E225	6.0	3.0	7.0	4.0	3.0	-13546.774398771051	1.8149235914343532E-4	1.0	0.0	NaN	8498.10005948776	1335.585909813635	3222.960190352713	2811.0226571327635	2388.1771474440966	3640.309009883703	2832.3732908212514	2826.376118553685	1979.013596210076	1894.7560076899895	1544.5992861172806	3076.548006022519	2518.995754907254	752.6452790695722	2012.3474560218722	2311.1486977492505	1020.555254269249	3160.6121212770317	2951.5465889938414	2423.8408142745207	2488.4296743870336	1656.3006617711249	855.4333125827893	2283.006220498837	1231.8630889281947	1285.4076823430262	1460.720802426678	1047.80011787958	1448.7796116880415	714.5680873057978	2439.5492237683234
220000	-13991.297381163644	-202.21954067877522	-13789.077840484868	-13789.077840484868	8.99848980295544E269	2.1747479645067036E273	Infinity	3.18191520818058E277	8.554930699665835E249	5.0	1.0	7.0	6.0	4.0	-Infinity	2.0114393916357496E-4	1.0	0.0	NaN	7665.154195966797	1359.9951313379954	3247.920537245632	2754.682042448539	2314.9159891579407	3861.929537094643	2707.966951244056	2828.003724588567	1873.231470159807	1757.7856254385872	1540.1754089916717	3165.4309691929675	2518.995754907254	752.6452790695722	2012.3474560218722	2367.248996967236	949.9808658636122	3160.6121212770317	3055.802631841717	2373.0011274971725	2709.448986293636	1708.6720427701284	979.505721737189	2363.347066848219	1062.578113430163	1558.4728419757087	1384.9475239505855	944.2737317672068	1304.370740785302	582.8531561769215	2467.434214994812
222000	-13974.049151729396	-188.6276002173642	-13785.421551512032	-13785.421551512032	5.595849333390856E295	5.137005718309862E299	Infinity	4.836778843888051E297	6.434536491143417E285	4.0	4.0	2.0	10.0	3.0	-Infinity	1.917825302262507E-4	1.0	0.0	NaN	7665.424330119142	1357.5875012842096	3239.8791508593677	2800.0982036887476	2334.4813382392585	3618.7998211130243	2688.085548402141	2819.3642875193277	1860.96921760208	1756.5850985490868	1533.5424545934761	3093.443237363404	2447.9430402957487	722.3793632762664	2278.5096263635796	2390.1593226106584	1067.8326106956324	3365.871664987076	3016.1544154326234	2373.10667753957	2609.6442420467474	1654.4046608357426	1054.5190524121977	2263.0088956125287	1357.4635644633042	1331.6997536277393	1597.5887685061832	1017.7374644044456	1428.5682976685357	582.6029490977897	2328.0026967266494
