# BEAST v1.8.0pre Prerelease r5356, r5356
# Generated Fri Dec 13 11:38:17 NZDT 2013 [seed=1386887897035]
state	posterior	prior	likelihood	treeLikelihood	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline	meanRate	coefficientOfVariation	covariance	treeModel.rootHeight	clock.rate	binary.frequencies1	binary.frequencies2	tmrca(baltic)	tmrca(baltoslav)	tmrca(celtic)	tmrca(germanic)	tmrca(indoiranian)	tmrca(iraniangrp)	tmrca(italic)	tmrca(northwestgermnc)	tmrca(toch)	tmrca(westgermnc)	age(luvian)	age(avestan)	age(oldnorse)	age(latin)	age(oldpersian)	age(oldhighgerman)	age(hittite)	age(vedic)	age(ancientgreek)	age(lycian)	age(gothic)	age(oldchurchslavonic)	age(oscan)	age(oldirish)	age(tocharian_a)	age(classicalarmenian)	age(oldenglish)	age(tocharian_b)	age(oldprussian)	age(umbrian)
30000	-13900.885326929476	-200.90480226696312	-13699.980524662513	-13699.980524662513	1049596.0567194289	1.9584264911530795E11	75590.07944655063	7.756431537349867E9	952142.313086784	1.0	3.0	1.0	5.0	13.0	-396.32915071587615	5.637382838424953E-6	1.5191317248038863E-16	0.9772727272727271	7736.636603170646	5.637382838424955E-6	0.9839685913984186	0.016031408601581563	1383.5558703754998	3327.607282027203	2770.6904429657025	2237.6482037912497	3741.509714970088	2949.7365784816648	2844.7985385506845	1887.9936676468064	1884.5911017225353	1545.6350633521333	3604.52255165242	2601.810877312034	757.4873440326558	2094.39291601704	2411.0355210814946	967.6934441074391	3261.947566267919	3132.7049520372393	2443.6723566492615	2696.2970308940726	1660.4622470392742	971.7869567942282	2227.775837868298	1097.7370529144218	1362.374919521101	1399.799773188407	1090.2944535340903	1425.14525739039	625.6935134375748	2463.216567526849
32000	-13899.790230922634	-190.69884933597157	-13709.091381586662	-13709.091381586662	2.8543669275450498E7	4.8650498644007794E11	434458.69652258605	7.930801694484225E10	1.5980941469439888E7	1.0	6.0	4.0	2.0	10.0	-446.73865850105085	5.145664050665955E-6	1.664299695897943E-16	0.9772727272727271	7376.560181358915	5.145664050665957E-6	0.9849921848277277	0.015007815172272449	1377.7988172794905	3250.0227144980845	2707.1307868990098	2228.2134925238342	3760.0081873582117	2862.306827559366	2832.8736156909245	1908.3277112165913	1876.6777267517791	1539.148399813053	3576.114561131832	2462.8054429811773	804.8762061544837	2058.394215676877	2379.1773991286987	928.8064142938205	3324.1336362940083	3040.533144330808	2430.3701755956536	2573.8106935085693	1655.1273196265345	1018.7263032287344	2351.17576182095	1250.8136133305588	1404.9331577069063	1392.373711714491	1046.9665371805183	1427.1827822751247	440.3746167258609	2408.7967375480375
34000	-13893.158404046144	-193.2592012601002	-13699.899202786044	-13699.899202786044	2.2608402713163042E8	2.8248434128535776E12	2251442.356915917	2.8165883199723305E10	3.922142590970354E7	4.0	1.0	5.0	10.0	3.0	-471.83878461929055	5.269790530766335E-6	8.125491008340861E-16	0.9772727272727274	7045.71849521262	5.269790530766335E-6	0.9860880532206249	0.01391194677937526	1346.713159554292	3227.3439221663284	2699.917631505809	2266.254829787193	3622.577755811966	2797.136336875874	2851.2666022841745	1874.3148993663842	1808.1018199830455	1482.9507833093135	3432.5257858252357	2462.8054429811773	828.3095772073333	2094.895148505858	2378.3133421945968	1023.4888085083747	3227.287929001005	2827.8730688104265	2430.3701755956536	2581.553575804466	1655.1273196265345	1092.6628403955413	2234.170196625527	1214.0298217378838	1287.2191927645179	1396.7703708563645	1046.9665371805183	1404.2970556518253	736.0506285149804	2453.6686270420323
36000	-13892.492092596203	-194.90735369107355	-13697.58473890513	-13697.58473890513	1.1470184014168031E9	4.494119460126151E12	5.002281923045402E7	2.842829958474213E10	1.4001575035599103E7	2.0	5.0	3.0	12.0	1.0	-545.8772229170783	4.832512862833887E-6	7.088591263216437E-16	0.9772727272727271	7930.634276451971	4.832512862833886E-6	0.9862978629210659	0.013702137078934303	1343.2815532270208	3173.818712236684	3069.4737032585826	2260.5567666884135	3620.8035787750805	2754.717614638227	2844.0608918399957	1952.4889370430842	1803.4892667544652	1529.9094265185827	3432.5257858252357	2462.8054429811773	813.1311610874354	2124.315332661165	2378.3133421945968	1023.4888085083747	3497.511075910501	2859.623427240684	2466.333739922739	2684.1541357015835	1655.1273196265345	1098.5882157291242	2191.0138333467544	1354.9509155288104	1361.7095871828199	1574.275910902861	1013.6687631280636	1373.6120103466135	686.8082046122482	2437.434658308314
38000	-13893.614217506105	-177.80892210592657	-13715.805295400178	-13715.805295400178	1.3942842034544775E10	4.523684005174244E13	4.477673556604989E7	5.043758650388411E10	1.140250834055079E7	1.0	2.0	5.0	10.0	5.0	-502.0192464366318	4.690809835136143E-6	9.128410035479282E-16	0.9772727272727274	8017.702530081674	4.690809835136142E-6	0.9862241718870935	0.013775828112906653	1343.2791341472976	3250.7742249987487	3069.4554608709427	2260.517780253042	3620.7818419128253	2966.106516812506	2844.0745797277878	1936.5637320833705	1803.5437861863968	1542.070289028149	3439.72214882959	2534.5924458346717	710.7300092661633	2089.552715827531	2440.000845196993	992.8276702607247	3464.913195641952	2981.8965690404657	2422.8474810494663	2431.2971629001318	1643.0211637182301	1009.5545765803932	2191.0138333467544	1260.7415760120516	1353.2589019077932	1456.0616188643019	978.4443063080871	1423.3526506246794	546.7070101724246	2273.5044685586613
40000	-13884.200233609512	-182.53852490731003	-13701.661708702202	-13701.661708702202	6.543307565378969E10	1.1777111851572148E14	2.204769181332509E8	3.408485483630231E11	9.449341872065827E7	4.0	5.0	1.0	12.0	1.0	-617.8478073514731	4.292582354987615E-6	1.995052489736341E-16	0.9772727272727271	7923.622798216953	4.2925823549876145E-6	0.9880914929724107	0.011908507027589447	1343.2415642737715	3235.822649885972	2777.307104983243	2312.233768248717	3786.4026183076016	2877.517906360534	2844.1043867690755	1851.871077692627	1803.560100552149	1542.0370351779713	3386.254344641728	2534.5924458346717	836.8976906421509	2089.552715827531	2382.3480443976628	1031.710076511216	3518.705846799921	3094.417271813222	2418.237682728121	2587.710587580057	1632.62032849658	957.4800280954021	2191.0138333467544	1176.7352753854966	1281.6080041573982	1477.31004522207	1023.7146541464964	1457.7019633587436	600.064154327148	2279.085020348463
42000	-13884.123994922347	-189.2609856875371	-13694.86300923481	-13694.86300923481	4.527609360749908E12	4.751888455311816E14	2.7894988426659036E8	8.382550882950822E11	8.644063745323883E7	8.0	3.0	1.0	4.0	7.0	-591.7039416401794	4.539883020882431E-6	9.43188081644859E-16	0.9772727272727274	7935.4847366039285	4.5398830208824315E-6	0.987136590484619	0.012863409515381261	1343.222200985147	3155.632933843754	2880.519169114428	2222.463337394646	3751.4025062007554	2790.503964433973	2844.0585032353983	1851.099992306241	1803.589777913839	1526.1313130704434	3386.254344641728	2534.5924458346717	783.0223818878778	1978.3689231685992	2317.8314193498395	969.8296754637523	3532.975208462113	2908.555340644886	2364.6940447472302	2586.73868843469	1672.050153814448	1025.8461381405325	2324.6801659206344	1159.9932043392087	1417.0229188130743	1491.9153636300955	1024.1839246760112	1313.4351805355575	612.1242235468428	2442.0881899746037
44000	-13891.058080926128	-194.69054141316897	-13696.36753951296	-13696.36753951296	9.127307729771314E12	1.3330070967329382E15	1.2142909609552732E9	2.3476494488417944E12	5.056139790787682E7	4.0	5.0	3.0	7.0	4.0	-626.5985518923349	5.324624992324323E-6	3.216724981406803E-16	0.9772727272727271	7479.305513665143	5.324624992324322E-6	0.9851778894306142	0.014822110569385953	1356.4494715592689	3156.0010741630535	2974.8646957139154	2222.7565803597095	3780.098309515825	2765.121684853056	2844.374220362003	1873.936540005683	1803.8582828001195	1564.405159491883	3378.342421113625	2522.045782656131	813.2412103906534	2136.986103554767	2358.777114050182	1180.310156730065	3419.991938185636	2908.555340644886	2393.5079311266204	2597.346563358051	1649.58787693401	991.9145523004848	2405.3661462351256	1232.9005083242437	1341.3663928875737	1390.7284031412973	1101.6392058296283	1301.0614931801338	715.1134996261817	2491.498450366629
46000	-13882.094207955124	-186.1056784536156	-13695.988529501508	-13695.988529501508	2.7776258148353372E14	4.471962550066229E15	1.7475338160562634E9	9.071816492880734E12	4.027058829139918E9	4.0	4.0	5.0	8.0	2.0	-666.5071176660218	5.32012898880857E-6	8.048608532548186E-16	0.9772727272727271	7678.243028845353	5.32012898880857E-6	0.9853554890820458	0.014644510917954304	1350.9307657602901	2969.934092159767	2631.196287046538	2296.0472210527214	3764.7209534930485	2797.726023281732	2832.889940975149	1849.7371018042552	1796.5405603391546	1563.2675239465395	3378.342421113625	2581.646721246514	761.9037848644496	2126.959377339315	2477.9416983014116	1015.3007105761242	3421.391441331708	2963.859230883826	2405.042646682754	2601.0877213570657	1664.7931746057254	932.2455667996726	2405.3661462351256	1178.694143049138	1416.0396579437286	1432.4114105654655	1008.5856613045064	1397.2068298471895	670.8038057338621	2386.9477420217518
48000	-13886.346493987276	-191.27271331262557	-13695.07378067465	-13695.07378067465	1.1191171414344512E15	1.4843478759937104E16	1.184170406165119E10	1.3183460451301561E14	4.18270022437951E10	2.0	6.0	7.0	7.0	1.0	-707.1297135362511	5.13027964305604E-6	1.1685033560335182E-15	0.9772727272727273	7550.11867823755	5.13027964305604E-6	0.9857891492803289	0.014210850719671283	1337.559083366981	3289.10179545737	2990.098529491572	2273.2762039794015	3944.126965097327	2954.038106887437	2804.8727820381723	1896.875900273822	1778.740183256569	1554.1007723939472	3257.6479381538747	2581.646721246514	807.1300094172385	2126.959377339315	2396.6202486410366	1044.0001275999377	3421.391441331708	2978.845640245688	2414.385137632585	2601.1727063321014	1655.5844547964052	1069.798052115707	2249.2244342338954	1335.130078635789	1315.2693001333644	1270.6008051971246	1060.7588110904896	1348.8026821449305	682.7871012076304	2339.478990714305
50000	-13887.150959192937	-185.7089120913229	-13701.442047101615	-13701.442047101615	2.398528782840972E16	1.09500479271839456E17	4.087417342916584E10	3.014104423239727E15	2.765909329844204E11	1.0	7.0	1.0	8.0	6.0	-780.0043846510938	4.791199656149577E-6	1.7874285626407565E-16	0.9772727272727271	7941.74167199913	4.791199656149578E-6	0.9857891492803289	0.014210850719671283	1354.4369566674268	3330.441113139266	2938.5109510464104	2314.611821095524	3798.2165700004875	3072.1520095948454	2888.2160433201843	1851.4518835464567	1826.950134371299	1524.384861661163	3257.6479381538747	2480.886449253048	766.3591831058991	2082.69580111642	2468.9567598883573	1023.3165649470151	3325.183937508201	3016.9007890928115	2447.943156264887	2547.8340448005747	1655.5844547964052	1002.8696365880005	2242.476057959356	1097.9411856374359	1324.7514022480684	1353.0778893411334	1010.6758239804216	1312.9590229693897	841.5234054413236	2271.602561432512
52000	-13884.396897593368	-188.5728459397966	-13695.824051653572	-13695.824051653572	7.4374279450915728E16	9.9732526145115034E17	4.349782874525001E11	3.0867910515323305E15	5.263385059358499E11	2.0	4.0	13.0	3.0	1.0	-725.8394281358883	4.629302865473221E-6	5.549816482254001E-16	0.9772727272727271	7492.483386012614	4.629302865473223E-6	0.9862827188836283	0.013717281116371906	1354.43759793916	3330.4629700487444	2999.2218704203715	2314.6491579824983	3912.020652232668	2967.8954060379674	2804.4505389725605	1969.5083282043784	1826.93571748628	1544.5679588727535	3257.6479381538747	2536.5427539648845	813.4797369236572	2082.69580111642	2468.9567598883573	1009.0623403161352	3245.6367120233067	3111.528863828467	2395.8989086147094	2574.8346616893314	1655.5844547964052	969.1460603291112	2242.476057959356	1370.727678588561	1417.5125432463756	1403.293243922465	1010.6758239804216	1258.4594792947694	576.9230924721651	2336.998876646799
54000	-13888.208024317437	-194.16352194734586	-13694.04450237009	-13694.04450237009	1.09134433086767437E18	1.0519441736194589E19	4.2202658464077207E12	1.3156637729750564E16	4.1409437679502197E12	1.0	3.0	1.0	9.0	9.0	-797.5129603791406	4.616151888293765E-6	7.42083650794407E-16	0.9772727272727271	7463.658158998587	4.616151888293766E-6	0.9862827188836283	0.013717281116371906	1357.7502025058902	3389.783111794876	2961.7635917336784	2331.0873962050196	3819.989843522008	2894.3094979991283	2824.4642488446525	1888.4890854301323	1706.8110575610729	1542.6418824120697	3208.0912152139513	2556.9396023994236	780.8005477720692	1980.3857564417015	2407.175023054853	1104.5473895976247	3083.6005767214037	3150.4852634350113	2354.2371310288904	2576.190577973457	1681.779567014771	971.7375185885126	2371.571261042647	1191.569326096507	1266.6287500576896	1446.515514502451	1086.4586149425925	1373.6146196406978	670.9931828673333	2473.4352763982097
56000	-13879.208876644629	-194.72223880723394	-13684.486637837395	-13684.486637837395	6.918759785774975E18	5.811932569206235E19	9.15669333423696E12	3.5940263543090064E16	4.271504544931034E13	8.0	1.0	10.0	3.0	1.0	-836.7577141244595	4.743090669407886E-6	3.6111167639919584E-16	0.9772727272727271	7960.536050574296	4.743090669407884E-6	0.9862827188836283	0.013717281116371906	1376.2275365522664	3304.478787683804	2948.0454237650943	2340.339197610977	3981.692699513221	2910.6075023473195	2824.4769765113765	1902.3044383795059	1739.539523112502	1594.3378810153054	3188.1316236971297	2556.9396023994236	808.6346865143922	2152.745050833774	2435.431301235318	1048.0380591641108	3262.6783074543882	3064.6635237870596	2451.880667803881	2612.5285891106982	1681.779567014771	952.5707411990262	2329.172936700971	1128.582807369124	1358.1622640784428	1351.6648127748956	1050.0840703383808	1313.9375660885862	806.953270015095	2418.1678773680715
58000	-13886.330587584102	-193.06096888542075	-13693.269618698681	-13693.269618698681	1.0637829720359451E20	2.7969851736209054E20	1.4271012120514875E14	1.798479367717158E16	8.198925959688825E13	4.0	7.0	6.0	5.0	1.0	-928.74598459961	4.0797519487016525E-6	6.297388093000408E-16	0.9772727272727271	8356.849694426146	4.0797519487016525E-6	0.9877130452325976	0.012286954767402531	1410.1693223515756	3295.173765008058	3102.407258500349	2356.0983232746344	3970.4785630011206	2876.6532519491707	2805.3690688302277	1963.5004721753562	1752.645519951617	1561.7399150991996	3177.099384589797	2556.9396023994236	828.2148348775227	2227.5393854200975	2351.1067345690926	998.7412719286264	3512.0758626820802	3073.9333328864413	2483.047492395361	2481.4935383647316	1673.4274886142546	968.968754736422	2176.991234622968	1205.3754548407924	1217.2938009881884	1343.3867388019814	936.2889394016622	1308.915258655865	653.9072784284123	2288.6120485749007
60000	-13892.637121854965	-201.2725746372916	-13691.364547217674	-13691.364547217674	2.6776851079492765E21	2.242602999860695E20	1.2404806680593252E14	9.014719040365592E16	3.675806174176928E14	1.0	5.0	1.0	13.0	3.0	-924.2243790240545	3.920688689323187E-6	4.3685830696212157E-16	0.9772727272727271	8152.488672431054	3.920688689323186E-6	0.9874603979003495	0.01253960209965065	1410.1478833421265	3288.7767081143584	3124.255970470695	2280.379538615264	4060.8306232814143	2897.9436369660125	2805.42290257391	1935.6200948323562	1832.6783504052135	1561.7392931987126	3177.099384589797	2626.2437939670426	777.709337896621	2169.1408982024955	2302.5916178140983	1051.9868435642488	3378.9236488344036	2958.646186096411	2516.5936136020623	2587.43718081911	1692.4628310368587	1078.2550890541131	2250.42458674534	1124.8076863393005	1313.3367202372751	1500.3821269141372	981.9939701935758	1308.915258655865	747.8383033904948	2288.6120485749007
62000	-13884.21653904318	-192.30667301896816	-13691.909866024213	-13691.909866024213	1.5615667801869311E22	1.0453319101208809E21	3.032037341288264E14	1.3232542069889792E17	2.0635345154980182E15	4.0	3.0	6.0	5.0	5.0	-923.1148539834917	4.137668534133212E-6	4.139494038282288E-16	0.9772727272727271	7960.108170345045	4.1376685341332135E-6	0.9874603979003495	0.01253960209965065	1384.2949864958418	3340.2404561295066	3124.233929996729	2291.8775815070035	3666.9420506758543	2936.794693803736	2805.42024396446	1905.1983316143708	1832.731356655061	1561.76313315901	3188.7609093353817	2539.835512627993	806.4454556391174	2128.841935563127	2439.169260026979	1005.4280563194371	3446.7944003442585	2957.0142037793817	2415.049019053977	2535.1660281559293	1652.7802778292858	1035.7250554915643	2343.238871264153	1069.5057720983386	1347.7634369538582	1551.0495246507087	1055.1650029853622	1353.4641730457697	650.0763385970166	2463.985211859223
64000	-13887.830715648783	-192.6661736301175	-13695.164542018665	-13695.164542018665	5.03009694939056E23	6.38405924290434E21	4.705684159913354E14	9.6557920252088038E17	2.2194171884499708E16	1.0	2.0	6.0	10.0	4.0	-922.3703231837422	3.89091248810779E-6	4.4020147669171015E-16	0.9772727272727271	8137.539959625394	3.890912488107789E-6	0.9880994794718521	0.011900520528148027	1384.2554194378752	3340.2480147998317	3225.767090424465	2206.749846692751	4081.20205538567	2953.1025849823704	2805.453628689647	1896.3298707369945	1762.9631502799143	1517.7791307177797	3188.7609093353817	2544.077360318828	827.1649356844093	2127.3170126978475	2461.5684738454515	932.493715539225	3256.4553174397893	3159.3224195289918	2394.0208013986266	2494.7552755831275	1687.9608526437648	1032.8207675769547	2205.1078700335665	1335.8481994415495	1424.1542838439475	1466.6732160626848	1012.0980367364598	1286.3611134910032	532.648682113661	2241.698216745164
66000	-13885.806480696458	-191.08594010423434	-13694.720540592223	-13694.720540592223	2.2565155373113077E24	7.0918843686754365E22	2.4425930878257055E15	6.8602980795203492E18	2.8914259717871635E17	4.0	1.0	1.0	12.0	5.0	-1033.8469886551125	3.89541950283383E-6	6.59538242940428E-16	0.9772727272727271	8329.625234575416	3.89541950283383E-6	0.988079802078634	0.011920197921366133	1384.271389748098	3306.6783129509795	2928.102877773075	2307.152051155	4092.4665045133765	2924.5296148011894	2887.9522993156975	1863.6339037898133	1836.6682608015135	1555.2590298426846	3188.7609093353817	2583.995347117724	817.839008915146	2183.580559271614	2329.829777844233	1075.762794946666	3283.9041474940263	3002.2568150987654	2421.14720530592	2540.686141156072	1715.0385061183058	1018.2468396995004	2260.8390731508443	1304.834658703082	1328.6196031885738	1455.3405628786961	921.5456774847822	1314.251257713132	544.5441889556467	2337.6848761110964
