# BEAST v1.8.0pre Prerelease r5356, r5356
# Generated Fri Dec 13 13:11:37 NZDT 2013 [seed=1386893497465]
state	posterior	prior	likelihood	treeLikelihood	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline	meanRate	coefficientOfVariation	covariance	treeModel.rootHeight	clock.rate	frequencies1	frequencies2	hfrequencies1	hfrequencies2	bcov.alpha	bcov.s	tmrca(baltic)	tmrca(baltoslav)	tmrca(celtic)	tmrca(germanic)	tmrca(indoiranian)	tmrca(iraniangrp)	tmrca(italic)	tmrca(northwestgermnc)	tmrca(toch)	tmrca(westgermnc)	age(luvian)	age(avestan)	age(oldnorse)	age(latin)	age(oldpersian)	age(oldhighgerman)	age(hittite)	age(vedic)	age(ancientgreek)	age(lycian)	age(gothic)	age(oldchurchslavonic)	age(oscan)	age(oldirish)	age(tocharian_a)	age(classicalarmenian)	age(oldenglish)	age(tocharian_b)	age(oldprussian)	age(umbrian)
20000	-16880.38580814111	-186.09775532350918	-16694.2880528176	-16694.2880528176	6.7354160525480575E184	2.4436126750589337E197	7.936864287783896E223	5.121276292910624E191	4.494348558985634E208	8.0	3.0	1.0	6.0	5.0	-10334.486049210585	2.8327046888527886E-5	3.627879947422807E-16	0.9772727272727271	5963.093926046333	2.8327046888527896E-5	0.5430040553999387	0.4569959446000613	0.5	0.5	0.2903817906604675	3.499784841759372	1376.0168646932534	3275.2341229446806	3172.339504193379	2399.4822394390276	3694.9863631600083	3085.832899870703	2874.4594706110124	1864.7699935531848	1908.6463746001104	1540.1271054293688	3257.475533708134	2493.622360846473	714.7700609835598	1919.469758251958	2519.089425768248	1007.0419885102477	3444.221688498921	2816.559650659177	2355.279620389772	2421.8350937908895	1640.5027051387256	997.0176279199791	2314.3203865237465	1283.8075397135663	1358.3435852560642	1480.6023272892082	973.4283231599835	1356.4187629535634	663.3060214213289	2258.2233640659397
22000	-16730.76961968003	-188.2351500368975	-16542.534469643135	-16542.534469643135	2.717673208747962E202	7.569732168375673E225	6.298155823387288E247	6.598682740456021E217	1.2614893102223473E229	5.0	3.0	9.0	3.0	3.0	-12113.35255224199	2.7570600178583626E-5	1.1182251170914688E-15	0.9772727272727273	6261.45916218511	2.7570600178583626E-5	0.5635904906244119	0.4364095093755881	0.5	0.5	0.2903817906604675	3.499784841759372	1386.4608973937986	3145.114198118602	3223.654363637266	2372.678881981598	3741.6280399305274	3009.202599874878	2866.5246149940367	1898.130734771501	1780.476094243236	1565.8747395449002	3329.4894130237426	2535.162438763982	796.422327638737	1920.9757105530264	2321.1555671276687	997.5455175994796	3365.5075616725926	2837.834928098591	2384.567001192835	2412.9591771689893	1638.7234875536417	970.4056015630143	2120.6712842262014	1093.1486211747024	1254.480544094006	1408.3550528283342	1021.7445173593599	1270.7649276026505	646.1268659777894	2128.3627028697774
24000	-16646.43620793805	-195.28800218556222	-16451.148205752488	-16451.148205752488	1.6724845396949955E232	9.231261057052224E245	3.743742474688112E275	1.0241812579186454E247	3.300136813672687E254	5.0	7.0	8.0	2.0	1.0	-13437.88515465546	3.0878282640965636E-5	4.4375147228452293E-16	0.9772727272727271	5901.5736668727095	3.087828264096564E-5	0.5757912843672025	0.4242087156327975	0.5	0.5	0.2903817906604675	3.499784841759372	1341.8651315438892	3142.8007752174467	2902.838547785834	2403.8259243804223	3808.7066484793613	2946.193697918527	2943.5212663898114	1978.3819083440503	1797.9433724108821	1538.3419381511137	3306.881591138378	2493.2000407958412	849.8012069627066	1972.9545590127998	2356.930195492418	949.9495772956423	3126.358040659736	2887.6182440540615	2281.9080341441754	2295.9240396939326	1660.618732210194	934.6478643869413	2312.400724635165	1301.9602446242664	1268.0890768141926	1468.904491623289	1113.8407587589977	1295.6206289362904	636.2022216864414	2238.2452583769477
26000	-16463.595092223688	-189.34728273898358	-16274.247809484705	-16274.247809484705	6.273406111359433E259	4.256220099139619E265	7.220315425485627E304	1.0183101134673674E268	1.2343198138893515E278	5.0	8.0	1.0	3.0	6.0	-14279.367412192427	3.065175681194507E-5	1.1175773274279608E-15	0.9772727272727271	6045.11089506944	3.065175681194506E-5	0.5993984803620032	0.4006015196379969	0.5	0.5	0.2903817906604675	3.227183800973398	1367.771506376475	3359.4190999986195	3166.011430263032	2453.925030910789	3842.2977194322734	2958.675637738094	2975.2974053258886	2020.4656203151724	1842.3319489352195	1559.845450194634	3361.012188412743	2437.952188592317	801.4402975142463	2063.4291397466714	2451.595013415338	1001.1579086484762	3535.512336715513	2833.0862789583894	2400.291263430209	2422.3677528272947	1687.9261994803037	988.2050039918884	2374.4392799692373	1149.3367325880909	1203.9103323894478	1490.8013267659069	1032.541870634092	1333.487953929949	637.8158514115403	2317.1137606199813
28000	-16279.342063653563	-188.40950748209156	-16090.932556171472	-16090.932556171472	2.688434360816749E289	4.944163521650799E290	Infinity	1.52072008587011E297	7.90768755695301E300	4.0	9.0	6.0	2.0	2.0	-Infinity	3.2049879699561234E-5	4.275299474441933E-16	0.9772727272727271	6109.7854457821795	3.2049879699561234E-5	0.6255174880077699	0.3744825119922302	0.5	0.5	0.2903817906604675	3.227183800973398	1358.8397155840153	3210.8041608407657	3191.804475480353	2414.9745268829784	4013.3932235723582	3049.3778578528536	2818.094369900183	2022.370884533972	1863.7784724172461	1534.7028243194284	3456.331284423028	2481.908055354696	807.5330899792564	1985.7465646605306	2446.6660499243444	952.6271734251912	3275.939355894792	2902.7515768693975	2426.024376789236	2436.515257384759	1687.9261994803037	1054.8333054618936	2217.8543524914107	1243.032469630472	1271.0520791864928	1443.471361510266	1043.174305753687	1362.6588226045512	713.2793817420688	2350.417855446085
30000	-16277.880532723542	-200.65216996530455	-16077.228362758238	-16077.228362758238	Infinity	Infinity	Infinity	Infinity	Infinity	6.0	4.0	8.0	1.0	4.0	-Infinity	3.0158842357887316E-5	5.679214747761454E-16	0.9772727272727271	6250.157746556498	3.0158842357887312E-5	0.6255174880077699	0.3744825119922302	0.5	0.5	0.2903817906604675	3.227183800973398	1362.2686814658275	3320.974879000442	3009.0743105987126	2487.4939039499636	3987.518427436705	3110.295734841718	2820.197473349971	2043.4804144592804	2052.994040902811	1534.7463831960242	3296.321631917374	2508.9330547406366	798.749427163071	2065.0590165694794	2397.4886253138243	858.1854800565252	3322.7443630466405	2826.2640897442016	2279.116950249261	2341.0835840389227	1620.7236216822453	976.7026728987569	2179.8808860419094	1150.1039990517936	1444.9287296244222	1448.3173031274298	920.59346091397	1321.7913044046522	701.775593414178	2400.273008198024
32000	-16278.214021839764	-187.1117764873782	-16091.102245352386	-16091.102245352386	Infinity	Infinity	Infinity	Infinity	Infinity	3.0	1.0	17.0	1.0	1.0	-Infinity	2.845921066068957E-5	1.0833096525605369E-15	0.9772727272727273	6603.92392492109	2.8459210660689572E-5	0.6255174880077699	0.3744825119922302	0.5	0.5	0.2903817906604675	2.5657118688942315	1376.4736597954552	3291.137921577353	3063.8932428808503	2404.485074859485	4047.8609143171216	3024.6044155684517	2846.634643836695	1941.5404682042354	1935.0224225526363	1550.8412669849192	3328.5405769237473	2534.3820387056417	760.0202288028854	2049.803172215931	2334.039918003191	1009.1135680688866	3354.614814268379	2908.2469927139227	2344.778206591478	2506.724676374992	1618.1035753451865	998.5132546095657	2129.630224570483	1283.8995526548533	1265.6884714488235	1410.7478355643789	1029.3834483909027	1358.8576163827402	752.9410559646764	2330.88021269948
34000	-16203.273118103622	-199.84879099353512	-16003.424327110086	-16003.424327110086	Infinity	Infinity	Infinity	Infinity	Infinity	6.0	5.0	8.0	3.0	1.0	-Infinity	2.7689053502969347E-5	3.711471226908324E-16	0.9772727272727271	6680.066293182384	2.7689053502969354E-5	0.6361958843985147	0.36380411560148534	0.5	0.5	0.18999213536096993	3.3172631622624547	1417.984099291173	3281.9640096775597	3171.756951945073	2571.1460344410516	3939.9505604844235	3099.9647712416395	2919.0280572991082	2026.8746191545574	1988.5978119200304	1564.7034952533224	3559.4135156396856	2440.772472947839	786.5263181550205	1899.177785757735	2413.783214522045	863.4113231080873	3422.326193547716	2973.315345775044	2446.6814176689973	2464.324874775701	1623.549143770166	1000.5034359905611	2165.7180245035756	1294.5498145490537	1359.015431781314	1624.3184312710998	1022.3991080409713	1425.5823022926722	606.9828335111948	2197.053134122843
36000	-16028.496109473135	-194.19619954661917	-15834.299909926516	-15834.299909926516	Infinity	Infinity	Infinity	Infinity	Infinity	7.0	1.0	3.0	1.0	11.0	-Infinity	2.8980742341729544E-5	7.092097515295238E-16	0.9772727272727271	6398.806066047534	2.898074234172956E-5	0.6605558051139747	0.33944419488602545	0.5	0.5	0.18999213536096993	3.3172631622624547	1376.712094010588	3284.714940517809	3535.4088179726996	2606.9963006560556	3956.499906936776	3115.3786772323206	2885.1152504630177	2075.6225406378803	1861.6715057556053	1585.5464008480085	3264.6236230267527	2553.823724119274	737.8136249201974	2070.3330650603007	2454.3198065609868	947.8746917702692	3260.032435105971	2851.3315395979603	2344.9356384189364	2445.6018944790085	1676.6229162160887	989.4196482806008	2242.6033792585326	1195.078515911732	1278.5564215090426	1446.9948435109975	1024.992067558164	1228.4634013217092	651.6134659353936	2279.6209848770186
38000	-15942.604538965144	-184.4670089604077	-15758.137530004737	-15758.137530004737	Infinity	Infinity	Infinity	Infinity	Infinity	2.0	2.0	2.0	8.0	9.0	-Infinity	2.873755482025922E-5	4.768075596287817E-16	0.9772727272727271	6677.818256044488	2.8737554820259196E-5	0.671457321937002	0.32854267806299814	0.5	0.5	0.18999213536096993	3.3172631622624547	1372.7060606724542	3317.3732904561425	3217.4335111503797	2411.8940248287663	3942.720773728227	3218.590085095014	2856.3081050337587	1930.449378628926	1854.2250460096077	1563.1437244285976	3495.119492286449	2527.188078622451	740.8913191037315	2091.0774619023164	2445.642987578365	1005.5290763236541	3490.189751367072	3038.0470725567147	2332.0570820969983	2392.646783415024	1660.57035948006	974.7219849036416	2323.42026657878	1128.4999663901078	1411.1400000613546	1345.7388064715637	1023.5764479901352	1292.9624619200752	638.8896243872301	2303.1528761700138
40000	-15914.379918759176	-198.84037628283744	-15715.53954247634	-15715.53954247634	Infinity	Infinity	Infinity	Infinity	Infinity	1.0	2.0	2.0	10.0	8.0	-Infinity	2.9559565382771426E-5	1.158870504869839E-15	0.9772727272727274	6408.879116784302	2.9559565382771436E-5	0.6781882406966494	0.3218117593033507	0.5	0.5	0.18999213536096993	3.3172631622624547	1382.1356778665702	3342.95431782915	3139.015736238831	2439.2415130109835	3952.063058130984	3086.201886457993	2818.9535335360056	1926.6504052107523	2085.025009399889	1522.3833728988784	3545.971661893169	2508.9928382053895	677.0517434074173	2137.0935503417913	2288.860746066486	903.7726139264341	3538.0671716911697	3069.8009467948973	2362.1042386469744	2477.2896230305455	1611.340074514648	1012.1371060891297	2204.232286210389	1238.9424078339314	1334.540936650218	1529.6388318039706	985.9357955654849	1529.3751282624792	411.22606353660535	2167.541893633921
42000	-15773.776700545613	-198.4894164184514	-15575.287284127162	-15575.287284127162	Infinity	Infinity	Infinity	Infinity	Infinity	4.0	1.0	5.0	4.0	9.0	-Infinity	2.950050689203181E-5	8.128333526256295E-16	0.9772727272727273	6954.724971348628	2.9500506892031806E-5	0.6974019462585646	0.30259805374143556	0.5	0.5	0.1129948530664542	3.171950595291861	1391.92998305387	3342.0579625288756	3142.3128734973975	2529.297579785948	3957.530045730966	3102.6811079370696	2844.973770758239	2020.4332125204212	2122.9829527490688	1516.345897105678	3554.059701907091	2508.9928382053895	810.8102564006231	2221.553325285358	2334.8461122494964	932.8240910561259	3434.1376265827207	2874.925848422986	2370.389942398937	2407.679531661169	1604.8424298624577	1038.5409211459446	2132.4371177067155	1138.839828676391	1408.8624327046214	1436.6195086810526	947.6313254539406	1293.3126796858883	387.9194081965561	2349.8250205262707
44000	-15575.571600891848	-194.48102768899534	-15381.090573202853	-15381.090573202853	Infinity	Infinity	Infinity	Infinity	Infinity	3.0	2.0	1.0	12.0	5.0	-Infinity	3.069752482020639E-5	1.1159110924903215E-15	0.9772727272727271	6826.465994680365	3.069752482020639E-5	0.7253894337874031	0.27461056621259705	0.5	0.5	0.06966255452420557	3.171950595291861	1373.7141282430487	3274.695883131659	3276.200896300672	2322.6057560862605	3721.3936096028456	3207.955483853366	2810.789782850951	1923.9892752762119	1963.3870017797844	1538.07684644914	3344.8724600139885	2583.664500256127	739.993755814309	1960.0828188072044	2467.94768297648	977.5468914020129	3482.1247160780954	2840.0216795756023	2305.972248736886	2518.671457983804	1665.4885991460064	890.0031813829198	2251.558222011904	1187.379825218189	1337.819185506261	1573.74329553744	1011.2503084464284	1344.5299905209495	587.2035701082107	2230.5484761554953
46000	-15376.632765687833	-194.24188397421676	-15182.390881713616	-15182.390881713616	Infinity	Infinity	Infinity	Infinity	Infinity	2.0	8.0	2.0	8.0	3.0	-Infinity	3.019503124316599E-5	3.4034449094950055E-16	0.9772727272727271	6381.769869524807	3.0195031243165977E-5	0.7536760572952145	0.24632394270478558	0.5	0.5	0.06966255452420557	2.057398851596068	1399.1302155224698	3342.981770371888	3360.810168821021	2386.981760163698	4005.127894637761	3016.666205463526	2883.7648122564356	1941.3530961989436	1998.0603972942872	1558.8840917779912	3430.9872625131225	2541.097545608714	840.2323589681808	2125.129654597705	2340.4299527746743	910.5582372374872	3461.8295382057313	2958.412909249099	2351.1855190495303	2430.242627994876	1623.1586335497925	1060.9588962752384	2001.3311071830858	1165.1394878211593	1337.819185506261	1358.5233267206484	978.7124094686985	1317.4734223598518	745.6584318778782	2317.0651378580806
48000	-15379.610274504868	-193.0551411964873	-15186.55513330838	-15186.55513330838	Infinity	Infinity	Infinity	Infinity	Infinity	2.0	13.0	5.0	2.0	1.0	-Infinity	2.9905966673576265E-5	6.872683735543447E-16	0.9772727272727271	6862.755346049593	2.990596667357627E-5	0.7536760572952145	0.24632394270478558	0.5	0.5	0.038602831382926084	2.057398851596068	1400.8460161816467	3273.2325299692657	3452.6708986819253	2400.7185041193425	4073.2333110265777	3146.6305859056474	2900.6163706625625	2032.6762081089462	2023.692034702916	1511.70609283887	3508.107278368339	2443.1450852079292	819.8801959107647	1999.5415967517163	2423.344538044472	1014.1387619189679	3433.0877567791786	2931.257146886016	2360.1568584197967	2436.529160693349	1602.262957934802	1021.7799028370304	2091.619189886146	1231.3927219301502	1348.798219495604	1525.1893346125416	1051.2299002163168	1353.8107219761891	555.9148437810611	2432.4103355322
50000	-15047.528403237044	-195.58083154058718	-14851.947571696457	-14851.947571696457	Infinity	Infinity	Infinity	Infinity	Infinity	2.0	11.0	4.0	4.0	2.0	-Infinity	3.086077925548152E-5	6.660047338781466E-16	0.9772727272727271	6568.988105878143	3.0860779255481526E-5	0.8003692811209927	0.19963071887900732	0.5	0.5	0.038602831382926084	2.057398851596068	1356.7257274462718	3255.879029691894	3232.9986698358107	2365.0302939670487	3881.4553185926834	2983.322903328809	2829.6323678196422	1913.8140345705374	1979.3152956904332	1564.9672185553104	3275.5741588278975	2545.1565924793567	840.6659780755812	1939.3055830885908	2298.587533606724	959.3737807820959	3370.911832587832	2873.3900314498355	2331.141942453584	2550.5989073747287	1676.7070249825222	1008.4703306560834	2166.3499545512336	1076.6208208836952	1396.1073160732626	1433.4531970234912	1059.7554554513292	1277.2773814149698	693.8128439967923	2287.8166085854145
52000	-15044.02760649723	-186.07003876491007	-14857.95756773232	-14857.95756773232	Infinity	Infinity	Infinity	Infinity	Infinity	5.0	3.0	4.0	1.0	10.0	-Infinity	3.070965299955039E-5	8.923763081104661E-16	0.9772727272727271	6897.855230166686	3.070965299955039E-5	0.8003692811209927	0.19963071887900732	0.5	0.5	0.02471328615900004	2.057398851596068	1344.8366813780372	3393.720086354559	3173.2661218365847	2395.7758388575485	3895.123347732256	2926.225241960877	2833.06291941303	1965.0505298677854	1926.1451691028708	1560.0234896985285	3272.0669043244097	2545.1565924793567	795.8502962686598	2085.438302378656	2401.020873602082	1065.1590550856936	3624.123966900029	2943.5490648099844	2341.0112796481203	2517.6860688721704	1638.5600360516842	981.4295589283225	2238.8836977031137	1191.2022172657694	1404.2792505206542	1341.2862957330567	1052.6648337064012	1323.0710883502993	544.542101812928	2296.625058117531
54000	-14862.54995137313	-187.301208966554	-14675.248742406577	-14675.248742406577	Infinity	Infinity	Infinity	Infinity	Infinity	9.0	3.0	6.0	4.0	1.0	-Infinity	2.93420717859835E-5	7.004762726106273E-16	0.9772727272727271	7108.904665822601	2.93420717859835E-5	0.8271697232832245	0.17283027671677562	0.5	0.5	0.014480135879011695	2.057398851596068	1359.7040359680184	3387.2365977008317	3256.7133417142645	2482.0763745293575	3972.102632727976	2789.7305503856096	2873.8793633790337	1912.290311305084	1953.9386293763373	1566.7692772945036	3295.099864343418	2560.6742964589303	727.2365905200732	2071.7356050062003	2354.92589090786	967.4565819145787	3395.332411307185	3036.739302921961	2339.342776264368	2465.392128769729	1638.221295580098	957.6966506558043	2188.726580173027	1131.9834432425619	1316.4505478434605	1328.8868901434698	1026.9870725798082	1471.8438149954377	654.8910336926324	2301.8433300497472
